1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Medvezhya;Russia;Palearctic;;148.825562;45.445556;148.8195241;45.48593684;100.1783878
Mee.Oya;Sri Lanka;Indo-Malay;;80.911529;8.950415;80.86341326;8.8912866;109.5533913
Meenachil;India;Indo-Malay;;76.46184615;9.558235594;76.64870434;9.628218198;1268.428036
Menik.Ganga;Sri Lanka;Indo-Malay;;81.533195;6.363749;81.29872841;6.595220449;1373.302801
Mi.Oya;Sri Lanka;Indo-Malay;;79.815972;8.104305;80.12744039;7.973240557;1498.02598
Midorikawa;Japan;Palearctic;;130.579591;32.704347;130.8983553;32.6986163;1077.544376
Minamata;Japan;Palearctic;;130.3969988;32.22161371;130.4799414;32.16919769;137.2063301
Miya;Japan;Palearctic;;136.7104399;34.536945;136.4149458;34.35910188;841.2290768
Modaragam.Aru;Sri Lanka;Indo-Malay;;79.919586;8.570417;80.18660964;8.42182646;994.5805236
Mogami;Japan;Palearctic;;139.8144291;38.92193189;140.1959854;38.43784108;6902.723762
Mogral;India;Indo-Malay;;74.94997553;12.55027955;75.04753055;12.54367625;105.7792841
Monbetsu;Japan;Palearctic;;143.37593;44.329486;143.3457718;44.16955622;214.5139568
Moovattupuzha;India;Indo-Malay;;76.41495652;9.645049233;76.64313863;9.894429418;1800.411298
Moyanjiang;China;Indo-Malay;;111.9562463;21.85490503;111.7238831;22.20273577;4926.056953
Muar;Malaysia;Indo-Malay;;102.5573715;2.032858037;102.6468791;2.518044705;6042.359736
